Date,Coarse wool Price,Coarse wool price % Change,Copra Price,Copra price % Change,Cotton Price,Cotton price % Change,Fine wool Price,Fine wool price % Change,Hard log Price,Hard log price % Change,Hard sawnwood Price,Hard sawnwood price % Change,Hide Price,Hide price % change,Rubber Price,Rubber price % Change
2016-07-01,1089.07,7.27,1008.0,-3.82,1.79,9.82,1132.6,3.51,285.98,1.32,717.06,-7.44,75.6,1.07,1.59,6.71
2016-08-01,1095.75,0.61,1018.0,0.99,1.77,-1.12,1141.04,0.75,294.03,2.81,714.82,-0.31,73.48,-2.8,1.55,-2.52
2016-09-01,1061.8,-3.1,1025.0,0.69,1.72,-2.82,1147.4,0.56,292.15,-0.64,716.62,0.25,73.54,0.08,1.57,1.29
2016-10-01,1023.64,-3.59,963.75,-5.98,1.73,0.58,1188.1,3.55,286.86,-1.81,672.91,-6.1,74.64,1.5,1.66,5.73
2016-11-01,1019.21,-0.43,1021.0,5.94,1.74,0.58,1189.28,0.1,275.14,-4.09,677.33,0.66,77.25,3.5,1.87,12.65
2016-12-01,1002.56,-1.63,1127.0,10.38,1.75,0.57,1196.96,0.65,256.42,-6.8,680.27,0.43,75.69,-2.02,2.23,19.25
2017-01-01,1027.72,2.51,1225.0,8.7,1.82,4.0,1289.97,7.77,258.6,0.85,671.82,-1.24,75.05,-0.85,2.56,14.8
2017-02-01,1029.58,0.18,1146.25,-6.43,1.88,3.3,1368.14,6.06,263.45,1.88,680.49,1.29,76.58,2.04,2.71,5.86
2017-03-01,1059.6,2.92,1016.0,-11.36,1.91,1.6,1454.83,6.34,263.48,0.01,672.48,-1.18,77.93,1.76,2.35,-13.28
2017-04-01,991.12,-6.46,1044.0,2.76,1.92,0.52,1404.98,-3.43,270.34,2.6,688.44,2.37,75.43,-3.21,2.21,-5.96
2017-05-01,1019.95,2.91,1112.5,6.56,1.95,1.56,1433.47,2.03,265.28,-1.87,704.52,2.34,69.36,-8.05,2.1,-4.98
2017-06-01,1065.81,4.5,1119.0,0.58,1.87,-4.1,1403.83,-2.07,268.39,1.17,697.44,-1.0,67.59,-2.55,1.72,-18.1
2017-07-01,,,1059.0,-5.36,1.85,-1.07,,,264.62,-1.4,,,,,1.75,1.74
2017-08-01,,,1062.0,0.28,1.75,-5.41,,,270.96,2.4,,,,,1.84,5.14
2017-09-01,,,1015.0,-4.43,1.78,1.71,,,268.93,-0.75,,,,,1.86,1.09
2017-10-01,,,989.0,-2.56,1.73,-2.81,,,263.62,-1.97,,,,,1.64,-11.83
2017-11-01,,,1038.0,4.95,1.77,2.31,,,263.85,0.09,,,,,1.57,-4.27
2017-12-01,,,958.0,-7.71,1.88,6.21,,,263.62,-0.09,,,,,1.65,5.1
2018-01-01,,,942.5,-1.62,2.01,6.91,,,268.3,1.78,,,,,1.72,4.24
2018-02-01,,,835.0,-11.41,1.95,-2.99,,,275.8,2.8,,,,,1.72,0.0
2018-03-01,,,745.0,-10.78,2.03,4.1,,,280.72,1.78,,,,,1.76,2.33
2018-04-01,,,756.0,1.48,2.03,0.0,,,276.7,-1.43,,,,,1.73,-1.7
2018-05-01,,,692.0,-8.47,2.08,2.46,,,271.38,-1.92,,,,,1.7,-1.73
2018-06-01,,,623.0,-9.97,2.15,3.37,,,270.59,-0.29,,,,,1.56,-8.24
2018-07-01,,,,,2.12,-1.4,,,267.02,-1.32,,,,,1.47,-5.77
2018-08-01,,,,,2.08,-1.89,,,268.1,0.4,,,,,1.47,0.0
2018-09-01,,,,,1.99,-4.33,,,265.85,-0.84,,,,,1.44,-2.04
2018-10-01,,,,,1.91,-4.02,,,263.85,-0.75,,,,,1.43,-0.69
2018-11-01,,,,,1.91,0.0,,,262.71,-0.43,,,,,1.35,-5.59
2018-12-01,,,,,1.9,-0.52,,,265.43,1.04,,,,,1.44,6.67
2019-01-01,,,,,1.82,-4.21,,,273.25,2.95,,,,,1.59,10.42
2019-02-01,,,,,1.79,-1.65,,,269.71,-1.3,,,,,1.65,3.77
2019-03-01,,,,,1.85,3.35,,,267.74,-0.73,,,,,1.72,4.24
2019-04-01,,,,,1.92,3.78,,,266.66,-0.4,,,,,1.72,0.0
2019-05-01,,,,,1.77,-7.81,,,270.59,1.47,,,,,1.77,2.91
2019-06-01,,,,,1.71,-3.39,,,275.39,1.77,,,,,1.93,9.04
2019-07-01,,,,,1.67,-2.34,,,275.11,-0.1,,,,,1.67,-13.47
2019-08-01,,,,,1.56,-6.59,,,280.19,1.85,,,,,1.5,-10.18
2019-09-01,,,,,1.57,0.64,,,277.06,-1.12,,,,,1.5,0.0
2019-10-01,,,,,1.63,3.82,,,275.34,-0.62,,,,,1.43,-4.67
2019-11-01,,,,,1.65,1.23,,,273.4,-0.7,,,,,1.54,7.69
2019-12-01,,,,,1.67,1.21,,,272.8,-0.22,,,,,1.66,7.79
2020-01-01,,,,,1.74,4.19,,,272.4,-0.15,,,,,1.68,1.2
2020-02-01,,,,,1.69,-2.87,,,270.56,-0.68,,,,,1.61,-4.17
2020-03-01,,,,,1.49,-11.83,,,276.93,2.35,,,,,1.5,-6.83
2020-04-01,,,,,1.4,-6.04,,,276.24,-0.25,,,,,1.33,-11.33
